x_value,total_1,total_2
0,1000,1000
1,996,998
2,1001,1001
3,997,1003
4,999,1004
5,1007,1000
6,1009,1005
7,1011,1006
8,1009,1009
9,1003,1010
10,1011,1005
11,1017,1004
12,1019,1004
13,1017,1010
14,1018,1007
15,1020,1010
16,1020,1006
17,1023,1005
18,1018,1005
19,1022,1008
20,1023,1012
21,1031,1009
22,1027,1013
23,1025,1014
24,1021,1018
25,1018,1022
26,1026,1022
27,1023,1019
28,1017,1020
29,1018,1024
30,1026,1021
31,1034,1027
32,1028,1027
33,1024,1022
34,1023,1018
35,1017,1015
36,1022,1017
37,1028,1014
38,1027,1010
39,1035,1011
40,1036,1006
41,1041,1001
42,1037,1007
43,1043,1005
44,1045,1004
45,1042,1005
46,1045,1007
47,1051,1005
48,1055,1008
49,1060,1007
50,1055,1011
51,1060,1012
52,1060,1011
53,1054,1008
54,1050,1006
55,1051,1007
56,1048,1007
57,1042,1011
58,1037,1014
59,1038,1014
60,1037,1020
61,1036,1022
62,1042,1021
63,1036,1016
64,1034,1012
65,1031,1012
66,1034,1013
67,1037,1016
68,1033,1013
69,1029,1016
70,1035,1017
71,1036,1023
72,1031,1019
73,1032,1016
74,1034,1011
75,1036,1009
76,1032,1015
77,1036,1015
78,1032,1012
79,1038,1012
80,1038,1012
81,1044,1011
82,1049,1013
83,1055,1014
84,1061,1020
85,1064,1021
86,1062,1019
87,1069,1021
88,1077,1023
89,1082,1022
90,1089,1020
91,1090,1025
92,1087,1026
93,1089,1021
94,1096,1027
95,1099,1027
96,1093,1030
97,1096,1026
98,1104,1031
99,1110,1037
100,1107,1039
101,1109,1036
102,1108,1042
103,1105,1038
104,1108,1040
105,1108,1038
106,1104,1036
107,1109,1036
108,1109,1040
109,1115,1043
110,1118,1044
111,1120,1049
112,1114,1046
113,1110,1041
114,1118,1040
115,1113,1039
116,1109,1041
117,1117,1039
118,1112,1037
119,1109,1035
120,1104,1036
121,1098,1042
122,1102,1048
123,1109,1052
124,1109,1049
125,1104,1045
126,1107,1044
127,1101,1040
128,1109,1041
129,1106,1038
130,1101,1039
131,1108,1045
132,1113,1044
133,1114,1048
134,1115,1053
135,1118,1048
136,1117,1047
137,1113,1044
138,1116,1048
139,1111,1043
140,1114,1039
